type,question,answer,image,map1,map2
knowledge,"I have 10 breasts. I am the ...","SKYWHALE",,,
find,,"8LT","hackett.jpg",149.1594222,-35.2439611
maths,,,,,
knowledge,"Markus Mannheim's middle name.","WOLFGANG",,,
find,,TEST,"stop.jpg",149.1630556,-35.2474472
maths,,,,,
knowledge,"Surname of the ACT opposition leader.","COE",,,
find,,TEST,"holes.jpg",149.170675,-35.2446667
maths,,,,,
knowledge,"Chinese province in which COVID-19 was first detected.","HUBEI",,,
find,,TEST,"rocks.jpg",149.1709472,-35.2499333
maths,,,,,
knowledge,,,,,
find,,TEST,"style.jpg",149.1745028,-35.2386778
